X,Y,aridity,bio1,bio2,bio12,bio15,bio20,bedrockDepth,bulkDensity1_4,clay1_4,ph1_4,silt1_4
116.14475591706032,-34.49222765985166,-562,152,97,1112,69,123,232,1138,156,542,108
115.92132806130174,-33.970597625473985,-682,148,106,877,74,118,294,1176,171,574,120
117.73345661722331,-35.015089648184194,-518,153,93,908,58,179,246,1231,223,606,121
115.73211035574163,-34.40520455639467,-602,159,100,1115,73,110,269,1146,154,563,108
122.60106550310482,-33.79698970634656,-833,165,124,574,46,241,232,1392,193,667,101
117.92495520270707,-35.102355151233986,-437,150,84,915,56,194,200,1203,195,588,133
122.45470547973318,-33.88377702300884,-757,164,115,632,51,222,218,1325,178,627,109
116.71706658292962,-35.015089648184194,-459,153,87,1165,64,157,227,1074,171,530,132
115.0638457348332,-33.88377702300884,-692,167,97,1093,84,98,315,1257,180,601,117
118.0722532953212,-35.015089648184194,-471,153,88,835,52,216,219,1255,186,584,101
116.48565215595116,-34.753502828977254,-517,150,95,1128,67,135,220,1087,147,509,104
115.43257003296182,-34.31821553738463,-639,164,96,1025,77,103,310,1218,203,604,107
115.47045175395914,-34.23126046841104,-654,162,99,1002,77,103,341,1166,170,580,95
115.77100117268584,-34.05745164555825,-707,157,109,935,75,110,298,1145,154,564,112
119.99108556476652,-33.88377702300884,-767,163,107,479,36,320,201,1303,184,651,112
115.62070919768681,-34.144339215589554,-662,159,102,956,76,106,317,1134,145,562,97
117.31673543553129,-34.92785918549799,-509,151,96,991,56,183,216,1153,161,548,111
115.24591339667352,-34.23126046841104,-669,168,96,1044,79,98,322,1204,155,586,91
117.58593265411918,-35.102355151233986,-441,148,87,1023,58,179,235,1171,212,606,135
122.63563773079807,-33.710235544179,-891,165,132,535,41,260,207,1417,198,683,99
116.9429310349949,-35.015089648184194,-501,154,94,1082,61,161,230,1134,178,580,112
118.25419365470127,-34.84066362497745,-550,152,99,732,45,255,190,1247,174,581,96
115.5117766284635,-33.88377702300884,-714,158,105,906,80,95,371,1148,144,581,97
118.20522463340178,-34.40520455639467,-759,148,107,447,42,267,265,1302,180,632,115
123.78811552059638,-33.623514405702664,-961,167,128,401,38,314,287,1325,206,693,146
115.65725318134218,-34.31821553738463,-644,161,103,1051,74,107,300,1149,148,557,92
122.19634484072999,-33.970597625473985,-694,164,107,707,56,204,252,1320,177,627,119
117.84638884325595,-35.015089648184194,-510,153,91,883,57,186,237,1234,212,605,126
119.2944006976849,-34.49222765985166,-586,157,99,657,42,277,213,1294,180,625,127
122.5237963789386,-33.710235544179,-879,165,130,545,42,255,203,1420,187,679,97
119.39987300645733,-34.23126046841104,-741,160,115,553,37,311,229,1322,193,659,108
117.95932106928856,-35.015089648184194,-467,153,85,852,55,203,227,1216,178,593,117
121.81768231409474,-33.79698970634656,-782,166,115,595,49,246,196,1385,189,668,117
115.81935969723784,-33.45017067911187,-838,167,122,908,80,100,328,1339,195,613,104
120.4349817660457,-33.623514405702664,-910,165,120,413,37,305,203,1397,200,688,103
115.68544148080679,-33.017380216607066,-643,175,104,886,84,99,300,1371,176,667,117
114.98612387299178,-34.05745164555825,-628,167,89,1120,83,99,301,1209,203,600,134
119.43117194772863,-33.88377702300884,-847,158,120,436,29,355,224,1355,192,685,109
122.30839871179124,-33.970597625473985,-671,165,106,691,56,204,239,1334,176,641,115
115.73574207527865,-33.88377702300884,-747,159,111,889,79,100,320,1206,156,591,100
117.35193263564149,-34.84066362497745,-556,149,99,887,55,189,202,1150,156,539,99
116.67523687134666,-34.84066362497745,-513,149,96,1107,63,149,215,1081,150,518,103
118.21959354444262,-34.92785918549799,-452,151,92,782,48,241,186,1226,175,571,107
116.7110687875367,-34.753502828977254,-545,147,98,1027,63,151,197,1087,154,516,104
116.82999880896226,-35.015089648184194,-485,152,93,1124,62,156,207,1089,178,545,127
117.88102175360085,-34.92785918549799,-573,155,98,809,53,204,226,1258,184,602,111
116.63959185384778,-34.92785918549799,-494,151,94,1159,64,146,232,1093,155,527,108
119.47113701410072,-34.05745164555825,-814,163,120,485,34,328,217,1326,205,678,110
116.44591187516848,-33.79698970634656,-941,159,135,608,69,150,250,1357,197,622,105
118.09281034805362,-34.40520455639467,-753,146,106,446,45,254,261,1280,182,618,113
115.17192080872574,-34.144339215589554,-670,167,96,1074,80,99,338,1193,157,587,94
115.13364421803071,-34.23126046841104,-641,167,92,1101,79,101,308,1199,149,592,94
117.12097283950615,-34.57928498269575,-678,147,109,726,56,185,244,1228,179,585,90
115.02489709281198,-33.970597625473985,-655,166,94,1123,83,90,330,1218,181,602,119
118.36697628208374,-34.84066362497745,-535,153,97,723,44,264,206,1237,174,583,102
116.86530638107561,-34.92785918549799,-517,151,97,1076,61,160,209,1114,165,540,112
119.54315467113622,-33.88377702300884,-829,158,118,447,29,353,244,1340,191,684,117
117.01358475349406,-34.84066362497745,-566,150,102,956,59,172,189,1120,153,525,105
115.80927419024053,-33.970597625473985,-721,156,110,905,76,109,293,1173,166,578,114
117.3946599391254,-35.015089648184194,-488,153,91,993,58,176,221,1157,154,546,115
115.06996775876462,-33.623514405702664,-742,170,96,899,85,105,328,1298,172,601,119
119.87910284135893,-33.88377702300884,-805,163,114,469,34,328,228,1305,184,660,105
115.32022845877167,-34.31821553738463,-502,166,93,1033,78,100,303,1236,178,599,105
115.95693892643801,-34.40520455639467,-533,152,96,1199,70,119,259,1118,169,544,103
116.56245424396418,-34.84066362497745,-513,151,96,1137,65,140,216,1087,149,516,102
118.02145812282521,-34.57928498269575,-810,155,117,493,44,254,235,1339,207,635,93
116.14406682581595,-34.23126046841104,-699,151,109,913,70,127,287,1216,169,580,104
116.18391534995644,-34.666376660400644,-539,153,97,1207,70,120,245,1092,157,531,102
122.08429096966879,-33.970597625473985,-609,163,95,705,57,213,281,1320,206,654,136
120.17937516162806,-33.970597625473985,-662,167,107,497,44,278,184,1371,198,682,114
116.07128102264548,-34.666376660400644,-558,154,101,1232,71,116,259,1111,154,541,100
118.18518552135384,-35.015089648184194,-445,150,86,822,50,230,195,1225,178,571,109
115.20788688458148,-34.31821553738463,-564,172,79,1072,79,115,304,1224,148,587,98
117.62052439119067,-35.015089648184194,-529,153,97,954,58,176,250,1213,213,609,119
118.84445144330996,-34.49222765985166,-525,159,107,525,37,308,214,1331,180,640,105
116.97816364468952,-34.92785918549799,-536,153,98,1022,60,166,213,1129,160,545,107
118.10673628082868,-34.92785918549799,-527,153,95,788,50,225,211,1251,184,583,101
116.60413435689699,-35.015089648184194,-483,152,94,1194,65,146,265,1124,177,556,124
115.8072939762791,-34.49222765985166,-560,157,97,1189,72,110,251,1134,158,567,114
116.74383892387533,-34.40520455639467,-749,151,112,703,63,157,268,1251,170,580,101
117.79174309095553,-34.31821553738463,-839,151,112,424,50,225,250,1369,194,669,88
123.2385845435862,-33.88377702300884,-764,161,119,596,44,268,287,1328,198,649,128
117.98606458693216,-34.666376660400644,-730,153,110,564,45,247,231,1308,198,615,91
116.90080212611161,-34.84066362497745,-552,149,100,995,60,165,189,1118,151,526,104
116.52673459023387,-34.92785918549799,-501,154,94,1176,66,137,227,1108,160,537,116
123.01461909677106,-33.88377702300884,-691,163,116,560,45,258,199,1335,194,667,121
120.77496462861954,-33.88377702300884,-632,167,103,580,43,269,191,1353,170,676,114
115.17582845824079,-33.88377702300884,-713,165,101,1048,83,88,323,1243,169,596,101
115.18345127093616,-29.92396707316334,-1187,202,138,525,84,112,360,1445,192,675,102
116.10792689577221,-34.57928498269575,-562,154,99,1186,70,117,244,1114,152,536,104
116.03194713031864,-32.06803477915064,-843,178,115,956,83,99,278,1396,192,630,112
116.59836047174392,-34.753502828977254,-526,148,95,1077,65,141,210,1077,150,508,103
119.43541050385588,-34.144339215589554,-777,161,118,520,35,321,235,1322,201,666,108
115.50851210044655,-34.144339215589554,-659,160,99,956,78,103,350,1130,143,567,92
115.39631500320628,-34.144339215589554,-663,162,98,977,79,99,365,1141,146,568,90
122.44686201877612,-33.623514405702664,-905,165,132,508,37,276,192,1442,191,705,96
119.8432135484444,-33.970597625473985,-682,162,107,492,36,323,220,1284,179,649,107
116.33688898919922,-34.84066362497745,-516,155,95,1196,68,128,237,1114,166,537,112
115.80725928988754,-34.23126046841104,-600,154,98,1053,72,112,276,1114,148,543,107
122.56668820314074,-33.88377702300884,-776,165,116,610,50,232,240,1362,188,648,102
118.0135077432403,-34.05745164555825,-986,158,127,353,45,264,238,1482,228,733,88
116.93648541912222,-34.753502828977254,-590,148,103,916,59,169,190,1125,146,527,105
