X,Y,aridity,bio1,bio2,bio12,bio15,bio20,bedrockDepth,bulkDensity1_4,clay1_4,ph1_4,silt1_4
-37.40982836581496,-11.228618642040164,-391,251,80,1728,58,324,405,1361,266,569,182
-37.30885328142819,-11.228618642040164,-373,254,78,1766,59,332,437,1324,253,580,168
-37.289567149525986,-10.984225704511054,-407,251,74,1646,65,314,357,1387,268,566,183
-37.25234662523128,-10.495670137362321,-645,243,81,1059,62,282,263,1407,245,593,191
-37.18864426236923,-10.984225704511054,-380,254,71,1648,63,342,405,1391,249,577,161
-37.42962120759007,-11.47309076082074,-398,252,80,1675,55,332,339,1139,276,590,201
-37.27073226066715,-10.73991013765435,-489,247,75,1439,64,277,332,1392,264,583,202
-37.42297296360749,-11.39159114460821,-375,251,79,1742,56,325,385,1211,277,579,196
-37.416375375635496,-11.310100460782579,-378,251,79,1749,57,324,415,1299,274,574,188
-39.02638608852002,-14.413600957141641,0,240,61,2068,19,478,335,1200,343,519,243
-40.97254550445507,-20.42564632294845,-190,173,107,1328,54,753,178,1194,359,505,172
-39.736012758403895,-18.440563254695697,-182,240,85,1325,37,637,329,1306,313,548,202
-39.0087841459085,-14.249878848114111,0,244,61,2271,21,467,382,1097,334,529,249
-39.060798962344585,-16.464189707901067,-114,243,76,1625,21,422,429,1210,279,550,219
-40.50616971045753,-18.77077662961655,-452,235,105,1172,55,737,217,1362,355,542,136
-40.40296552725291,-18.77077662961655,-435,236,104,1180,53,725,234,1361,353,548,138
-56.14266676689056,-23.840149207913093,-62,231,116,1539,31,681,155,1357,244,559,164
