X,Y,aridity,bio1,bio2,bio12,bio15,bio20,bedrockDepth,bulkDensity1_4,clay1_4,ph1_4,silt1_4
10.759412007117144,50.30187400107487,-249,82,84,715,16,552,174,1278,200,587,440
12.755433656705888,53.40304216807514,-250,84,68,564,18,584,259,1258,97,578,227
12.588615996768782,51.74577356052532,-293,89,78,573,19,589,226,1316,97,557,230
10.89959385855613,48.49575294559785,-136,84,86,819,29,657,218,1349,182,638,388
7.768121346946145,48.11857946805957,-143,106,85,985,15,550,211,1318,205,620,442
10.995551456154027,50.11058706585917,-264,83,87,712,17,555,166,1284,203,590,449
8.986234380957178,48.68472879771797,-167,86,83,782,22,603,153,1287,222,590,456
11.023400451846825,50.30187400107487,-224,81,83,760,15,548,174,1192,196,561,435
10.745783661419551,50.206195182685896,-252,82,84,715,16,552,163,1275,185,573,416
11.619174330792015,48.11857946805957,-35,91,86,973,33,690,249,1299,218,625,379
11.558014947258973,48.59020819930399,-180,83,88,781,28,659,208,1319,183,611,390
10.654180181691762,48.59020819930399,-194,85,85,753,27,641,232,1315,213,640,422
7.385393849240957,49.53840464860238,-249,86,86,844,13,465,174,1273,196,582,451
10.77311556828464,50.39762385554178,-209,78,82,778,14,539,173,1240,203,576,450
11.574778540793677,52.133664023033134,-352,92,86,510,22,612,267,1361,165,688,395
25.716975831434894,62.20747180727648,-159,34,74,635,35,656,132,1037,105,472,377
8.369715505952978,48.96868565912907,-252,105,89,842,16,533,230,1336,192,601,348
12.261745672735353,48.96868565912907,-277,86,87,660,27,641,238,1357,194,663,436
11.009437726744245,50.206195182685896,-252,83,85,718,16,555,166,1246,195,571,436
14.090829785655652,59.356297444523975,-186,59,77,686,25,597,55,1053,126,499,346
11.157528868023537,48.49575294559785,-139,81,88,821,30,667,224,1308,179,601,400
16.066700638048886,67.19394034034667,-20,-24,63,736,24,506,67,1012,83,571,372
8.531573351250952,46.80640276311033,0,2,58,1578,12,570,88,925,131,549,369
4.324949904838772,50.8774505393978,-216,105,76,793,12,513,151,1460,131,606,570
-7.952868200554105,41.668659012723424,-315,110,86,1322,50,182,171,1219,174,555,302
11.26323510847003,59.668664724479186,-131,53,74,814,28,591,73,1049,147,521,367
10.758704481076379,60.928921735110976,-142,34,79,657,34,674,96,1011,98,499,393
10.671594576972888,59.773021384454886,-153,60,70,729,28,608,79,1033,117,508,319
10.23258030645477,44.033327796043245,-197,109,87,1560,36,330,153,1212,228,635,375
11.400853689565809,46.526777621372425,-200,84,93,695,41,751,211,1095,151,597,387
11.882417278735968,47.273648458267004,0,67,87,1124,38,714,140,1017,142,565,398
10.588257751755418,47.08656801156635,-8,38,82,962,30,661,145,993,143,556,364
12.481575264725224,56.28682755726612,-145,75,57,686,23,563,93,1245,219,620,252
-0.3002873012983475,42.664986432004326,-235,80,100,981,20,408,178,1118,176,609,375
-2.4747633469536328,42.664986432004326,-385,103,100,701,25,382,173,1282,283,677,409
23.508831314999288,67.19394034034667,-151,-4,93,544,34,667,179,996,60,486,393
11.88276199714641,58.32247219541824,-133,67,71,892,22,508,32,1023,107,472,314
11.183855037609941,48.68472879771797,-214,82,92,755,27,648,218,1319,190,607,397
10.912418686139539,48.59020819930399,-164,83,86,787,27,649,226,1347,181,638,393
10.834667944915148,48.96868565912907,-185,80,84,764,22,611,174,1283,232,599,439
22.503374557755922,60.50687343981101,-201,49,82,662,30,592,140,1094,267,545,321
12.247096118220576,48.873967225895676,-267,85,88,670,28,646,228,1344,204,662,452
21.468689309529278,65.8311329196648,-197,17,92,540,28,615,182,980,76,479,347
15.025307016393876,51.166220901994386,-249,86,82,643,25,624,197,1335,129,587,407
13.915963449443705,51.648992743902845,-284,89,83,612,25,615,226,1332,80,552,217
8.986835052131056,49.82418361358671,-205,91,81,900,13,479,195,1325,177,615,465
13.24772979758055,54.488068638176465,-200,82,67,596,22,610,134,1248,186,667,303
10.766557609481895,53.894954780188975,-221,86,73,673,17,550,249,1318,118,605,257
8.54466186240201,62.637978809054495,-27,28,60,1108,27,436,114,989,79,528,340
21.267055697546137,48.68472879771797,-296,88,93,615,41,734,224,1335,242,650,418
11.063069834378503,51.45565865808533,-284,85,82,570,21,606,204,1272,193,604,486
89.49384041757051,46.526777621372425,-790,34,139,152,35,677,246,1434,204,826,350
37.582158244855016,55.583743541993975,-194,50,76,653,34,656,246,1113,176,602,447
7.646757731875161,49.53840464860238,-281,89,84,710,12,515,151,1305,190,608,472
8.179645426654146,52.0365755737473,-210,94,78,783,15,527,192,1329,107,569,288
8.703187484709243,50.781340405483064,-280,87,84,710,13,503,151,1265,184,572,455
10.925311430944909,48.68472879771797,-191,83,86,760,26,639,219,1338,191,632,414
8.489295242298018,48.873967225895676,-118,89,90,1145,13,481,147,1267,205,560,412
11.47757412547166,48.024446521955085,-2,83,80,1057,35,696,206,1212,185,567,400
11.27309179206894,50.206195182685896,-251,82,88,749,16,549,176,1261,189,589,439
8.666700376510182,48.11857946805957,-163,73,93,871,17,556,126,1163,240,578,432
10.073926147169498,50.11058706585917,-299,87,86,694,14,517,190,1303,221,627,465
14.797403355528456,51.35910465348191,-234,88,78,658,25,617,216,1276,64,521,220
72.95578741650147,60.50687343981101,-195,-17,104,547,43,724,370,715,180,475,405
13.338219227097941,56.89324492137556,-145,62,84,1014,21,485,61,1007,61,442,277
12.834437040753697,57.912022438324684,-133,62,72,917,23,501,55,1032,86,463,333
11.169602572669733,50.39762385554178,-130,70,79,935,13,513,154,1066,164,507,410
13.556352148073596,51.166220901994386,-272,94,81,627,25,627,189,1365,166,621,446
12.506254799318684,48.873967225895676,-245,85,88,722,26,633,234,1319,198,635,433
12.539423235399479,50.685303015199914,-182,83,83,752,29,659,179,1324,182,606,480
24.00470831753324,60.717646998024975,-189,42,80,659,30,609,151,975,104,476,350
99.73500184568847,27.798047183336852,-244,60,121,712,68,882,164,1109,161,605,377
12.60571825970813,51.84263072099145,-325,91,83,559,19,587,231,1327,104,573,245
14.833292736303585,50.8774505393978,-160,83,79,729,38,687,190,1282,165,584,448
8.63655113882199,50.206195182685896,-306,99,81,654,14,547,212,1294,210,632,410
11.415463877490943,48.49575294559785,-134,80,89,825,31,671,183,1276,187,593,400
7.479547608101611,49.15832248733287,-225,87,88,880,14,471,166,1288,216,601,451
9.67867018717492,49.06347064404843,-128,84,87,1046,11,498,140,1263,209,577,467
14.702773736843797,51.5522878994309,-237,89,80,661,32,625,196,1290,52,502,192
99.61652195117165,27.96758842531997,-182,45,108,691,69,893,140,1118,150,602,379
